Humidity	Temperature	Rainfall	Crop_Health
97.6	16.1	238.6	Poor Health
97.0	15.0	198.1	Poor Health
96.7	15.0	237.9	Poor Health
96.3	12.3	181.8	Poor Health
93.8	14.9	214.5	Poor Health
93.2	17.3	231.5	Poor Health
93.0	17.9	222.6	Poor Health
91.2	17.0	201.5	Poor Health
90.9	15.7	199.4	Poor Health
90.7	17.3	204.6	Poor Health
90.7	16.8	248.5	Poor Health
90.2	17.4	190.3	Poor Health
90.1	14.6	243.3	Poor Health
90.0	13.4	198.6	Poor Health
89.7	12.7	227.0	Poor Health
89.5	20.4	127.7	Moderately Healthy
89.1	17.1	181.6	Poor Health
88.9	12.6	183.7	Poor Health
88.4	15.0	228.5	Poor Health
88.1	32.2	154.4	Moderately Healthy
87.0	27.8	108.2	Moderately Healthy
87.0	34.2	187.2	Moderately Healthy
85.7	12.7	188.2	Poor Health
85.5	15.7	203.6	Poor Health
85.0	28.8	100.9	Moderately Healthy
84.4	31.3	146.3	Moderately Healthy
83.9	30.6	154.6	Moderately Healthy
83.9	22.4	149.0	Moderately Healthy
82.7	23.0	107.8	Moderately Healthy
82.6	23.4	75.4	Moderately Healthy
80.9	27.4	129.4	Moderately Healthy
80.5	32.7	187.0	Moderately Healthy
79.7	28.2	105.9	Healthy
78.7	29.7	154.7	Healthy
77.7	23.9	101.6	Healthy
75.9	24.6	104.9	Healthy
75.8	23.7	104.5	Healthy
75.5	28.9	90.6	Healthy
75.2	29.2	115.4	Healthy
75.1	31.5	183.5	Moderately Healthy
74.4	29.5	161.6	Healthy
73.2	24.9	140.6	Healthy
73.2	28.2	95.9	Healthy
73.2	18.1	74.1	Moderately Healthy
73.0	22.8	193.2	Moderately Healthy
72.9	20.8	60.6	Moderately Healthy
72.7	22.2	167.6	Healthy
72.5	32.4	148.6	Moderately Healthy
72.1	18.5	137.9	Moderately Healthy
71.9	30.3	196.4	Moderately Healthy
71.8	28.1	109.0	Healthy
71.6	24.5	131.6	Healthy
71.1	23.4	145.3	Healthy
70.9	29.1	127.8	Healthy
70.8	26.3	97.2	Healthy
70.8	29.0	154.3	Healthy
70.6	24.6	95.1	Healthy
70.3	18.2	65.2	Moderately Healthy
70.2	23.4	95.2	Healthy
70.0	23.2	102.5	Healthy
69.9	29.4	97.1	Healthy
69.0	28.2	129.5	Healthy
68.9	18.6	119.8	Moderately Healthy
68.7	23.5	167.6	Healthy
68.5	19.7	142.3	Moderately Healthy
68.4	19.6	105.2	Moderately Healthy
68.1	25.4	92.0	Healthy
67.9	26.7	93.7	Healthy
67.8	25.3	107.8	Healthy
67.8	33.9	154.4	Moderately Healthy
67.6	22.4	112.3	Healthy
67.2	29.9	109.4	Healthy
66.4	28.3	106.0	Healthy
66.0	23.0	129.6	Healthy
65.8	24.3	138.9	Healthy
64.7	24.2	156.3	Healthy
64.7	29.5	101.0	Healthy
64.4	29.6	148.6	Healthy
64.1	29.8	167.0	Healthy
64.0	22.9	159.0	Healthy
63.9	24.2	133.4	Healthy
63.7	19.7	123.7	Moderately Healthy
63.7	20.9	115.1	Moderately Healthy
63.1	26.2	146.2	Healthy
62.9	26.1	162.6	Healthy
62.8	24.6	148.4	Healthy
62.6	22.8	144.7	Healthy
62.1	22.3	138.8	Healthy
61.9	19.3	53.8	Moderately Healthy
61.4	34.4	194.5	Moderately Healthy
61.3	26.0	114.1	Healthy
61.2	25.3	150.4	Healthy
60.7	22.6	113.2	Healthy
60.4	20.9	73.5	Moderately Healthy
59.9	22.4	116.0	Healthy
59.7	29.1	133.1	Healthy
59.7	33.2	144.7	Moderately Healthy
59.6	24.4	132.0	Healthy
59.3	34.3	185.8	Moderately Healthy
59.0	29.4	154.6	Healthy
58.5	24.3	119.3	Healthy
58.5	18.3	189.2	Moderately Healthy
58.5	28.4	96.0	Healthy
58.0	24.7	165.4	Healthy
58.0	27.7	150.9	Healthy
57.8	23.8	124.2	Healthy
57.7	22.3	140.9	Healthy
57.5	30.3	184.6	Moderately Healthy
57.1	19.9	188.7	Moderately Healthy
56.9	24.4	64.1	Moderately Healthy
56.5	28.9	138.1	Healthy
56.0	26.7	144.2	Healthy
55.9	29.3	110.7	Healthy
55.4	26.1	108.1	Healthy
55.1	28.5	146.5	Healthy
53.3	22.1	196.0	Moderately Healthy
52.5	27.3	157.2	Moderately Healthy
52.4	24.1	163.7	Moderately Healthy
52.1	19.6	184.6	Moderately Healthy
50.8	28.6	62.8	Moderately Healthy
49.8	30.3	92.1	Moderately Healthy
49.8	19.2	65.1	Moderately Healthy
49.4	25.8	131.8	Moderately Healthy
48.6	28.6	125.5	Moderately Healthy
48.1	24.1	94.0	Moderately Healthy
47.5	22.0	98.8	Moderately Healthy
46.5	26.5	169.7	Moderately Healthy
46.4	26.9	165.5	Moderately Healthy
44.9	18.5	23.4	Poor Health
44.9	26.5	136.5	Moderately Healthy
44.8	17.1	23.0	Poor Health
44.2	27.4	141.8	Moderately Healthy
44.2	20.7	184.8	Moderately Healthy
43.0	16.3	34.3	Poor Health
42.7	23.5	169.3	Moderately Healthy
42.6	27.0	131.1	Moderately Healthy
42.2	29.8	147.8	Moderately Healthy
42.0	32.5	155.5	Moderately Healthy
41.9	32.0	104.0	Moderately Healthy
41.2	29.0	76.6	Moderately Healthy
40.7	20.0	56.9	Moderately Healthy
40.5	28.5	145.3	Moderately Healthy
40.3	22.9	138.6	Moderately Healthy
39.5	37.9	19.8	Poor Health
39.4	41.9	36.4	Poor Health
39.2	19.7	39.7	Poor Health
39.2	38.4	24.1	Poor Health
38.3	41.8	49.8	Poor Health
38.1	18.1	24.6	Poor Health
37.6	34.7	19.4	Poor Health
37.0	35.9	45.8	Poor Health
34.9	16.9	43.9	Poor Health
34.5	16.7	28.8	Poor Health
34.5	19.3	29.7	Poor Health
34.4	37.8	49.3	Poor Health
34.2	15.3	11.3	Poor Health
33.8	37.0	8.8	Poor Health
33.8	40.3	40.5	Poor Health
33.6	39.4	15.7	Poor Health
33.1	18.5	37.9	Poor Health
32.0	39.9	15.7	Poor Health
30.5	39.6	14.6	Poor Health
30.2	35.8	35.2	Poor Health
29.7	37.8	23.9	Poor Health
28.8	38.5	44.4	Poor Health
28.4	40.0	46.1	Poor Health
28.1	39.0	36.3	Poor Health
27.8	40.3	22.8	Poor Health
26.8	15.3	40.3	Poor Health
24.4	36.3	44.1	Poor Health
24.4	39.6	16.2	Poor Health
22.8	17.5	10.4	Poor Health
22.0	37.3	32.1	Poor Health
21.1	16.4	43.3	Poor Health
21.0	35.6	16.3	Poor Health
18.3	34.6	47.3	Poor Health
17.5	34.7	36.5	Poor Health
17.3	38.8	29.9	Poor Health
17.1	41.9	21.8	Poor Health
16.1	41.1	28.7	Poor Health
